rank;title;shikimoriScore
1;Реинкарнация безработного;8.32
2;Ре:Зеро;8.25
3;Волчица и пряности;8.21
4;О моём перерождении в слизь;8.13
5;KonoSuba;8.09
6;Сон в замке демонов;7.95
7;Восхождение героя щита;7.90
8;Дракон-горничная госпожи Кобаяши;7.90
9;Ангел по соседству;7.86
10;Путешествие под предводительством Луны;7.71
11;Дневник наблюдений за моей невестой-злодейкой;7.68
12;Сто девушек которые тебя любят;7.67
13;Неторопливый фермер в другом мире;7.52
14;Моя реинкарнация в отомэ игре в качестве главной злодейки;7.44
15;Да я паук, и что же?;7.45
16;Кулинарные скитания;7.64
17;Перевоплотился в седьмого принца;7.41
18;Дочь короля демонов слишком добрая;7.33
19;Всемогущая магия святого;7.31
20;Моя сводная сестра — бывшая;6.71
21;Время пыток принцесса;7.26
22;Кума Кума Кума Мишка;7.23
23;Как госпожа Вельзевул пожелает;7.22
24;Подручный Луизы Нулизы;7.20
25;Злодейка 99 уровня;7.14
26;Рыцарь-скелет вступает в параллельный мир;7.13
27;Ради своей дочери я смогу победить даже короля демонов;7.07
28;Мифический дух: хроники;7.06
29;Чёрный призыватель;7.01
30;Перестану быть героем;6.99
31;Добро пожаловать в дешёвый ресторан изгнанника;6.98
32;Избранный богами;6.95
33;Мир Лидейл;6.96
34;Жизнь со сводной сестрой;7.31
35;Укротитель зверей изгнанный;6.90
36;300 лет убивала слизней;6.89
37;Цубакума (UzaMaid!);6.85
38;Безымянная память;6.81
39;Как не призвать князя тьмы;6.81
40;Средние способности (Mile);6.73
41;Арифурэта;6.72
42;Внук мудреца;6.61
43;Гарем рабов в лабиринте;6.52
44;Я стал самым сильным с провальным навыком;6.46
45;Я на самом деле самый сильный?;6.46
46;Рапсодия о долгом странствии;6.43
47;Я получил читерские способности;6.33
48;Жизнь перерожденного мудреца;6.33
49;Маг-целитель: Новый старт;6.31
50;Восьмой сын? Я так не думаю!;6.27
51;В команде героя была милая девушка поэтому я признался ей;6.23
52;Сильнейший мудрец низшей эмблемы;6.22
53;Плод эволюции;6.16
54;В другом мире со смартфоном;6.10
55;Похоже сильнейшая профессия — временный инспектор;5.84
